Model,Colour,Memory,RAM,Battery_,Rear Camera [MP],Front Camera [MP],AI Lens,Mobile Height,Processor_,Prize
139,254,64,4,5000,48,16,0,16.51,49,13499
2,230,128,4,4323,12,12,0,17.02,121,80999
177,135,128,8,4500,64,16,0,16.21,51,23999
177,261,128,8,4500,64,16,0,16.21,51,23999
107,29,128,6,5000,50,8,0,16.76,70,17499
162,150,64,4,5000,8,5,0,16.51,117,8460
103,42,128,4,5000,50,5,0,16.51,65,12999
63,231,128,8,4500,64,16,0,16.33,72,20890
1,29,64,8,2815,12,12,0,15.49,121,53999
105,177,128,6,5000,50,8,0,16.76,13,16499
55,96,64,4,5000,50,8,0,16.55,68,9790
104,119,64,3,5000,13,5,0,16.51,65,9999
118,49,256,8,3900,50,12,0,15.49,89,79999
32,52,32,2,3100,5,2,0,12.7,68,5998
123,259,64,4,5000,50,8,0,16.76,35,9990
110,17,128,8,5000,50,32,0,16.26,11,38999
59,215,128,4,5000,50,8,0,16.66,57,15999
