Model,Colour,Memory,RAM,Battery_,Rear Camera [MP],Front Camera [MP],AI Lens,Mobile Height,Processor_,Prize
75,273,128,6,5000,50,8,0,16.71,47,13999
83,145,64,4,6000,50,5,0,17.02,75,9499
27,106,64,2,5000,8,5,1,16.76,107,6199
27,212,64,2,5000,8,5,1,16.76,107,6199
27,112,64,2,5000,8,5,1,16.76,107,6199
156,197,128,6,5000,48,16,0,16.51,41,12499
17,2,64,4,5000,50,8,0,17.02,59,9999
81,113,256,8,5000,48,13,0,16.94,77,17999
134,202,64,4,5000,50,16,0,16.26,64,12499
138,222,64,4,5000,50,16,0,16.76,42,11499
113,164,128,6,6000,50,13,0,16.76,10,14490
90,120,32,2,5000,8,5,0,16.56,56,6299
113,164,128,6,6000,50,13,0,16.76,10,14490
52,164,128,4,1020,2,0,0,6.1,27,2615
156,196,128,6,5000,48,16,0,16.51,41,12499
3,36,128,6,4410,12,8,0,15.6,15,28999
3,37,128,6,4410,12,8,0,15.6,15,28999
90,25,32,2,5000,8,5,0,16.56,56,6299
10,28,64,4,5000,50,8,1,16.76,7,11499
17,139,64,4,5000,50,8,0,17.02,59,9999
154,238,128,8,5000,50,16,0,16.81,95,23999
154,176,128,8,5000,50,16,0,16.81,95,23999
134,39,64,4,5000,50,16,0,16.26,64,12499
97,248,64,6,5000,50,13,0,16.94,103,14999
10,223,64,4,5000,50,8,1,16.76,7,11499
98,85,128,6,5000,48,13,0,16.94,73,18999
98,132,128,6,5000,48,13,0,16.94,73,18999
98,154,128,6,5000,48,13,0,16.94,73,18999
17,80,64,4,5000,50,8,0,17.02,59,9999
98,132,128,4,5000,48,13,0,16.94,73,16999
98,154,128,4,5000,48,13,0,16.94,73,16999
10,195,64,4,5000,50,8,1,16.76,7,11499
131,195,64,4,800,2,0,0,5.08,0,2490
115,56,64,4,5000,13,5,0,16.51,43,7961
36,157,256,8,4400,50,32,0,16.64,6,29999
130,157,256,8,800,0,0,0,4.5,99,1299
131,157,256,4,1020,2,0,0,6.1,27,2499
86,79,128,6,5000,50,8,0,16.71,22,11999
86,180,128,6,5000,50,8,0,16.71,22,11999
91,237,256,8,5080,64,16,0,16.76,8,23999
43,34,64,4,5000,48,8,0,16.51,109,8999
88,44,128,6,5000,13,5,0,16.59,57,9499
97,101,64,6,5000,50,13,0,16.94,103,14999
114,43,128,6,5000,50,8,0,16.76,83,16999
47,11,64,4,5000,50,16,0,16.43,75,11248
146,269,128,4,6000,13,8,0,16.51,39,9999
82,99,256,8,5000,108,16,0,16.94,84,23999
138,224,128,6,5000,50,16,0,16.76,42,17999
134,39,128,8,5000,50,16,0,16.26,64,15499
40,46,64,2,5000,13,5,0,16.51,114,6799
114,81,128,6,5000,50,8,0,16.76,83,16999
74,273,128,6,5000,48,8,0,16.51,28,14499
26,80,32,2,5000,8,5,0,16.76,56,5999
26,4,32,2,5000,8,5,0,16.76,56,5999
26,172,32,2,5000,8,5,0,16.76,56,5999
82,8,256,8,5000,108,16,0,16.94,84,23999
98,85,128,4,5000,48,13,0,16.94,73,16999
97,126,64,6,5000,50,13,0,16.94,103,14999
16,28,128,6,5000,50,8,1,16.76,7,13499
149,57,64,4,5000,13,5,0,16.56,116,8749
149,122,32,3,5000,13,5,0,16.56,116,8049
128,122,32,3,2550,0,0,0,4.5,99,1375
132,122,32,3,800,0,0,0,4.5,99,1599
56,114,64,4,5000,50,5,0,16.66,57,12499
140,21,128,8,5000,48,16,0,16.76,84,17999
140,234,128,8,5000,48,16,0,16.76,84,17999
143,221,128,6,5000,50,8,0,16.76,50,16999
143,200,64,4,5000,50,8,0,16.76,50,14999
76,40,128,8,5000,64,16,0,16.33,62,13999
151,205,64,4,5000,50,5,0,16.51,116,9999
151,3,64,4,5000,50,5,0,16.51,116,9999
151,160,64,4,5000,50,5,0,16.51,116,9999
149,57,32,3,5000,13,5,0,16.56,116,8049
130,57,32,4,1020,2,0,0,6.1,27,2499
16,223,128,6,5000,50,8,1,16.76,7,13499
143,138,128,6,5000,50,8,0,16.76,50,16999
143,200,128,6,5000,50,8,0,16.76,50,16999
143,221,64,4,5000,50,8,0,16.76,50,14999
145,51,32,3,5000,13,5,0,16.51,115,7499
162,56,32,3,5000,8,5,0,16.51,117,7245
81,272,256,8,5000,48,13,0,16.94,77,17999
99,228,256,8,5000,50,16,0,16.94,44,26999
99,228,128,6,5000,50,16,0,16.94,44,23999
149,122,64,4,5000,13,5,0,16.56,116,8749
82,99,128,6,5000,108,16,0,16.94,84,21999
29,244,128,8,5000,50,16,0,17.22,52,15999
80,273,128,6,5000,64,16,0,16.94,79,17499
